date,city_ibge_code,epidemiological_week,cumulative_confirmed,previous_period,diff_by_period
2020-03-08,2704302,202011,1,0,1
2020-03-09,2704302,202011,1,1,0
2020-03-10,2704302,202011,1,1,0
2020-03-11,2704302,202011,1,1,0
2020-03-12,2704302,202011,1,1,0
2020-03-13,2704302,202011,1,1,0
2020-03-14,2704302,202011,1,1,0
2020-03-15,2704302,202012,1,1,0
2020-03-16,2704302,202012,1,1,0
2020-03-17,2704302,202012,1,1,0
2020-03-17,1200401,202012,4,1,3
2020-03-18,2704302,202012,4,4,0
2020-03-18,1200401,202012,4,4,0
2020-03-19,2704302,202012,7,4,3
2020-03-19,1200401,202012,8,7,1
2020-03-20,2704302,202012,10,8,2
2020-03-20,1200401,202012,13,10,3
2020-03-21,2704302,202012,14,13,1
2020-03-21,1200401,202012,18,14,4
2020-03-22,2704302,202013,18,18,0
2020-03-22,1200401,202013,18,18,0
2020-03-23,2704302,202013,19,18,1
2020-03-23,1200401,202013,25,19,6
2020-03-24,2704302,202013,27,25,2
2020-03-24,1200401,202013,31,27,4
2020-03-25,1200401,202013,33,31,2
2020-03-25,2707503,202013,34,33,1
2020-03-25,2704302,202013,34,34,0
2020-03-26,1200401,202013,34,34,0
2020-03-26,2707503,202013,34,34,0
2020-03-26,2704302,202013,34,34,0
2020-03-27,1200401,202013,36,34,2
2020-03-27,2707503,202013,36,36,0
2020-03-27,2704302,202013,37,36,1
2020-03-28,1200401,202013,37,37,0
2020-03-28,2704302,202013,39,37,2
2020-03-28,2707503,202013,39,39,0
2020-03-29,2704302,202014,38,39,-1
2020-03-29,1200401,202014,44,38,6
2020-03-29,1200807,202014,45,44,1
2020-03-29,1200013,202014,47,45,2
2020-03-29,2707503,202014,47,47,0
2020-03-30,2704302,202014,47,47,0
2020-03-30,2707503,202014,47,47,0
2020-03-30,1200401,202014,50,47,3
2020-03-30,1200807,202014,50,50,0
2020-03-30,1200013,202014,54,50,4
2020-03-31,1200013,202014,55,54,1
2020-03-31,1200807,202014,55,55,0
2020-03-31,1200401,202014,55,55,0
2020-03-31,2707503,202014,55,55,0
2020-03-31,2704302,202014,56,55,1
2020-04-01,2704302,202014,56,56,0
2020-04-01,2707503,202014,56,56,0
